Number,id_plot,province,latitude,longitude,altitude,aspect,MAT,MAP,Climate_change,slope,Forest_type,Forest_types,age,origin,origin_unsure,sucstage,area,Root_C_stock,lnRoot,Tree_C_stock,lnTree,Herb_layer_C_stock,lnHerb,Litter_layer_C_stock,lnLitter,Shrub_layer_C_stock,lnShrub,Woody_plant_C_stock,lnWoody,Total_aboveground_C_stock,lnabove,O_C_stock,lnOC,A_C_stock,lnAC,Total_soil_C_stock,lnTC,Total_belowground_C_stock,lnbelow,Total_forest_C_stock,lnTotalforest,AM_tree_C_stock,lnAM,EcM_tree_C_stock,lnEcM,C_stock_fraction_of_AM_tree,C_stock_fraction_of_EcM_tree,Ratio_of_AM_tree_C_to_EcM_tree_C,EcMrichness10,Amrichness10,species_richness10cm
858,SC232,SC,31.11971944,100.9538306,3331,NE,7.5,636,290.87025,11,Broadleaved_deciduous_forest,Broadleaved_forest,34,natural,natural,middle,600,3.462451436,1.241976846,34.28129918,3.534599992,0.029801293,-3.513203497,0.379506142,-0.968884498,0.094476348,-2.359405762,34.47025188,3.540096688,31.03760173,3.435199428,10.38625708,2.340483498,29.01896801,3.367949685,39.40522509,3.673898424,42.86767652,3.758118081,73.90527826,4.30278425,1.411548723,0.344687487,32.86975046,3.492552796,4.11754734,95.88245266,0.042943701,2,0,2
351,GZ115,GZ,25.00388889,105.7882222,735,SW,19.7,1237,572.60245,10,Broadleaved_deciduous_forest,Broadleaved_forest,65,natural,natural,late,1000,29.84013201,3.395854199,210.381755,5.348923761,0.23786,-1.436073014,0.0159,-4.14143617,0.095345,-2.350253387,210.572445,5.349829751,180.9701729,5.198332227,23.91518392,3.174513568,14.87086358,2.699403834,38.78604749,3.658060581,68.62617951,4.228674087,249.5963524,5.519845023,0.430159255,-0.843599778,209.9515957,5.346877007,0.204466046,99.79553395,0.00204885,1,1,2
683,SC57,SC,28.24731944,103.3249944,1953,SW,11.6,1000,457.0846,42,Mixed_broadleaved_forest,Broadleaved_forest,108,planted,natural,middle,1000,23.76463892,3.168198716,148.2049105,4.998595847,0.032098866,-3.438934577,0.284727213,-1.256223704,0.096067719,-2.34270193,148.3970459,4.999891424,124.6645058,4.825626175,96.3792728,4.568291166,74.98499864,4.317288075,171.3642714,5.143791533,195.1289104,5.273660419,319.7934162,5.767675213,33.12635317,3.500329134,113.8624533,4.73499117,22.35172443,76.82771978,0.290933071,6,3,8
37,AH37,AH,30.66704722,118.5707556,130,SW,15,1406,640.9015,26,Mixed_broadleaved_coniferous_forest,Mixed_forest,40,natural,natural,middle,1000,13.26737046,2.585307672,61.588361,4.120472908,0.045682667,-3.086036331,0.167174834,-1.788715104,0.097025584,-2.332780583,61.78241217,4.123618731,48.56072437,3.882815064,34.86074122,3.551361303,18.99812442,2.94434026,53.85886564,3.986367026,67.1262361,4.206574968,115.6869605,4.750887927,18.0429085,2.892752727,43.5454525,3.773805278,29.2959712,70.7040288,0.414346561,4,4,8
680,SC54,SC,31.07354722,103.2233556,2027,SW,11,935,427.581,28,Broadleaved_deciduous_forest,Broadleaved_forest,54,natural,natural,late,1000,10.93523629,2.391990262,63.80432015,4.155820902,0.140561744,-1.962108428,0.246309552,-1.401166193,0.097163073,-2.331364547,63.9986463,4.158861932,53.20397175,3.974133051,63.39732757,4.149421709,41.13281858,3.716806308,104.5301461,4.649475509,115.4653824,4.748970766,168.6693542,5.127940314,11.22415214,2.418067898,43.04523706,3.762251587,17.59152375,67.46445529,0.260752476,8,5,13
712,SC86,SC,32.20855,107.7136,665,SW,14.6,1113,511.0046,44,Mixed_broadleaved_coniferous_forest,Mixed_forest,48,natural,natural,middle,1000,10.01808139,2.304391599,51.06063455,3.933013839,0.04858078,-3.0245273,0.14214065,-1.950938219,0.097522772,-2.327669369,51.25568009,3.936826443,41.28617949,3.720527807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.760333158,1.560317657,46.30030139,3.835148471,9.322902467,90.67709753,0.102814302,4,1,4
423,HB58,HB,30.021975,109.0988556,1001,NE,13.7,1492,677.12395,25,Mixed_broadleaved_coniferous_forest,Mixed_forest,52,natural,natural,middle,1000,13.30467131,2.5881152,55.6513603,4.019106521,0.0153,-4.179902451,0.200403268,-1.607423603,0.097774789,-2.325088516,55.84690988,4.022614195,42.55753856,3.750857009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.84001273,3.633367081,17.68542407,2.872740801,67.9947669,31.77896095,2.139615798,5,12,17
755,SC129,SC,31.60231944,102.3744472,3512,SW,5.4,815,367.0774,34,Evergreen_broadleaved_forest,Broadleaved_forest,28,natural,natural,early,600,1.032831933,0.032304479,9.281392545,2.228011594,0.04413764,-3.120442346,0.420504644,-0.866299756,0.097797907,-2.324852103,9.476988358,2.248866582,8.488294065,2.138688046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257730942,-1.355839099,9.0236616,2.199850194,2.776856392,97.22314361,0.028561681,1,0,1
653,SC21,SC,33.53708611,103.6742306,2780,SE,4.9,662,298.85615,44,Coniferous_forest,Coniferous_forest,102,natural,natural,late,1000,19.86164594,2.988790532,124.6445548,4.825466125,0.00081,-7.11847631,0.240431862,-1.425318548,0.097812525,-2.324702643,124.8401799,4.827034358,104.9793439,4.653763606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.452206575,0.373084176,123.1923483,4.813746941,1.165078231,98.83492177,0.011788123,2,1,3
986,ZJ22,ZJ,29.92986944,119.9562389,81,NE,16.4,1428,652.4954,30,Mixed_broadleaved_coniferous_forest,Mixed_forest,25,natural,natural,middle,1600,19.22854683,2.956395989,62.1968005,4.13030356,NA,NA,0.147872264,-1.911406459,0.0990625,-2.312004315,62.3949255,4.13348395,43.16637867,3.765061921,18.95292741,2.9419584,14.05688375,2.643112222,33.00981116,3.496804825,52.23835798,3.955817052,95.40473666,4.558128228,56.83155056,4.040091639,4.979433706,1.605316171,91.37375248,8.005932241,11.41325579,4,5,5
